# shell	all	edge
13332.000000 9375.000000 0.200000
31334.000000 22311.000000 0.300134
45734.000000 32463.000000 0.400268
60164.000000 42736.000000 0.500402
72784.000000 51660.000000 0.600535
84023.000000 59720.000000 0.700669
92737.000000 65937.000000 0.800803
103325.000000 73554.000000 0.900937
112085.000000 79777.000000 1.001071
119825.000000 85077.000000 1.101205
129390.000000 91958.000000 1.201339
136694.000000 97073.000000 1.301473
146965.000000 104576.000000 1.401606
155286.000000 110524.000000 1.501740
163493.000000 115977.000000 1.601874
173014.000000 123105.000000 1.702008
180884.000000 128447.000000 1.802142
190483.000000 134964.000000 1.902276
198799.000000 140714.000000 2.002410
209571.000000 148624.000000 2.102544
218514.000000 155050.000000 2.202677
228484.000000 161971.000000 2.302811
236711.000000 167644.000000 2.402945
245557.000000 173408.000000 2.503079
257907.000000 182584.000000 2.603213
270479.000000 191426.000000 2.703347
278930.000000 197390.000000 2.803481
290061.000000 204964.000000 2.903614
299749.000000 211530.000000 3.003748
312410.000000 220645.000000 3.103882
322869.000000 227871.000000 3.204016
335316.000000 236890.000000 3.304150
346380.000000 244487.000000 3.404284
355421.000000 250620.000000 3.504418
370440.000000 261266.000000 3.604552
381594.000000 268955.000000 3.704685
399559.000000 281941.000000 3.804819
410503.000000 289543.000000 3.904953
423868.000000 298480.000000 4.005087
439128.000000 309595.000000 4.105221
451605.000000 317857.000000 4.205355
466499.000000 328636.000000 4.305489
479551.000000 337216.000000 4.405622
493527.000000 347841.000000 4.505756
508772.000000 357693.000000 4.605890
525608.000000 369665.000000 4.706024
538312.000000 378775.000000 4.806158
555428.000000 390493.000000 4.906292
569507.000000 400080.000000 5.006426
585064.000000 411049.000000 5.106560
601198.000000 422147.000000 5.206693
615780.000000 432045.000000 5.306827
630868.000000 442830.000000 5.406961
650553.000000 456346.000000 5.507095
662662.000000 464620.000000 5.607229
682200.000000 478566.000000 5.707363
699541.000000 490630.000000 5.807497
718878.000000 503833.000000 5.907631
736660.000000 516742.000000 6.007764
753732.000000 527820.000000 6.107898
772901.000000 541365.000000 6.208032
791046.000000 553668.000000 6.308166
805892.000000 564372.000000 6.408300
829875.000000 581139.000000 6.508434
843033.000000 589715.000000 6.608568
863690.000000 603666.000000 6.708701
878282.000000 613029.000000 6.808835
902857.000000 630371.000000 6.908969
922749.000000 644516.000000 7.009103
940020.000000 656295.000000 7.109237
957538.000000 668195.000000 7.209371
979560.000000 683142.000000 7.309505
1002062.000000 699193.000000 7.409639
1021882.000000 711798.000000 7.509772
1040725.000000 724967.000000 7.609906
1060750.000000 738746.000000 7.710040
1089608.000000 758648.000000 7.810174
1106277.000000 769987.000000 7.910308
1127419.000000 783726.000000 8.010442
1149597.000000 799563.000000 8.110576
1172096.000000 814076.000000 8.210710
1193363.000000 828923.000000 8.310843
1219733.000000 847577.000000 8.410977
1241614.000000 862722.000000 8.511111
1266558.000000 879358.000000 8.611245
1286615.000000 892984.000000 8.711379
1311676.000000 910198.000000 8.811513
1330820.000000 922494.000000 8.911647
1363096.000000 945691.000000 9.011780
1382948.000000 958709.000000 9.111914
1402650.000000 971642.000000 9.212048
1430136.000000 990567.000000 9.312182
1452580.000000 1005439.000000 9.412316
1479736.000000 1023519.000000 9.512450
1504809.000000 1041512.000000 9.612584
1531458.000000 1059706.000000 9.712718
1561177.000000 1079845.000000 9.812851
1583456.000000 1094563.000000 9.912985
1610497.000000 1112619.000000 10.013119
1631971.000000 1126740.000000 10.113253
1666755.000000 1151163.000000 10.213387
1690135.000000 1166610.000000 10.313521
1722980.000000 1189477.000000 10.413655
1746722.000000 1205286.000000 10.513788
1775262.000000 1224211.000000 10.613922
1797876.000000 1238965.000000 10.714056
1827514.000000 1259871.000000 10.814190
1853775.000000 1276914.000000 10.914324
1880385.000000 1293865.000000 11.014458
1912387.000000 1315863.000000 11.114592
1943976.000000 1337081.000000 11.214726
1970561.000000 1355348.000000 11.314859
2004213.000000 1377880.000000 11.414993
2028827.000000 1394140.000000 11.515127
2058174.000000 1413641.000000 11.615261
2086282.000000 1432385.000000 11.715395
2120608.000000 1455804.000000 11.815529
2153092.000000 1477933.000000 11.915663
2176099.000000 1492099.000000 12.015797
2205598.000000 1512075.000000 12.115930
2242115.000000 1536879.000000 12.216064
2275721.000000 1560191.000000 12.316198
2301615.000000 1576517.000000 12.416332
2331759.000000 1596147.000000 12.516466
2360904.000000 1615600.000000 12.616600
2400491.000000 1643115.000000 12.716734
2432832.000000 1664021.000000 12.816867
2458743.000000 1680887.000000 12.917001
2496666.000000 1706900.000000 13.017135
2527234.000000 1726326.000000 13.117269
2563475.000000 1751568.000000 13.217403
2597139.000000 1773993.000000 13.317537
2625136.000000 1791213.000000 13.417671
2667291.000000 1819769.000000 13.517805
2704119.000000 1845521.000000 13.617938
2734760.000000 1864577.000000 13.718072
2773787.000000 1891194.000000 13.818206
2801156.000000 1909101.000000 13.918340
2830805.000000 1928150.000000 14.018474
2872008.000000 1955583.000000 14.118608
2897989.000000 1971884.000000 14.218742
2945766.000000 2004222.000000 14.318876
2979108.000000 2026255.000000 14.419009
3013370.000000 2049165.000000 14.519143
3050366.000000 2073020.000000 14.619277
3085067.000000 2094812.000000 14.719411
3126386.000000 2122498.000000 14.819545
3158805.000000 2145161.000000 14.919679
3198030.000000 2170029.000000 15.019813
3236436.000000 2195210.000000 15.119946
3274810.000000 2221697.000000 15.220080
3300557.000000 2236591.000000 15.320214
3335698.000000 2257051.000000 15.420348
3391046.000000 2296906.000000 15.520482
3422475.000000 2316402.000000 15.620616
3458007.000000 2340171.000000 15.720750
3497672.000000 2366343.000000 15.820884
3528416.000000 2385050.000000 15.921017
3574939.000000 2417587.000000 16.021151
3612336.000000 2439420.000000 16.121285
3658332.000000 2470809.000000 16.221419
3699987.000000 2497968.000000 16.321553
3736463.000000 2521639.000000 16.421687
3777665.000000 2549363.000000 16.521821
3820009.000000 2576557.000000 16.621954
3852191.000000 2597094.000000 16.722088
3891812.000000 2622814.000000 16.822222
3938486.000000 2652886.000000 16.922356
3983835.000000 2681656.000000 17.022490
4022765.000000 2707411.000000 17.122624
4067980.000000 2737696.000000 17.222758
4109324.000000 2765499.000000 17.322892
4156396.000000 2793363.000000 17.423025
4196797.000000 2819821.000000 17.523159
4236869.000000 2846594.000000 17.623293
4277684.000000 2872998.000000 17.723427
4335533.000000 2911040.000000 17.823561
4371577.000000 2934818.000000 17.923695
4420400.000000 2965374.000000 18.023829
4465119.000000 2995344.000000 18.123963
4508348.000000 3022971.000000 18.224096
4547354.000000 3048285.000000 18.324230
4596394.000000 3080123.000000 18.424364
4633321.000000 3103457.000000 18.524498
4682252.000000 3135291.000000 18.624632
4730224.000000 3165633.000000 18.724766
4772221.000000 3191832.000000 18.824900
4809307.000000 3214671.000000 18.925033
4869370.000000 3256609.000000 19.025167
4907351.000000 3278917.000000 19.125301
4964638.000000 3317299.000000 19.225435
5010656.000000 3346829.000000 19.325569
5054079.000000 3373571.000000 19.425703
5095971.000000 3400211.000000 19.525837
5138973.000000 3426153.000000 19.625971
5188923.000000 3459187.000000 19.726104
5232983.000000 3487837.000000 19.826238
5289354.000000 3524262.000000 19.926372
5336282.000000 3554226.000000 20.026506
5383893.000000 3583875.000000 20.126640
5423106.000000 3608675.000000 20.226774
5482842.000000 3648662.000000 20.326908
5526657.000000 3675591.000000 20.427041
5580013.000000 3709027.000000 20.527175
5616040.000000 3731645.000000 20.627309
5669189.000000 3765219.000000 20.727443
5721966.000000 3799618.000000 20.827577
5766792.000000 3828174.000000 20.927711
5809473.000000 3852600.000000 21.027845
5865354.000000 3888899.000000 21.127979
5925399.000000 3928930.000000 21.228112
